type_area,price,price_sqft,value_area_sqft,possession_year,ready_to_move,years_until_possession,bhk,project_name,locality,floor_type,floor_num,total_floors,transaction_code,furnishing_code,facing_angle,facing_North,facing_North-East,facing_East,facing_South-East,facing_South,facing_South-West,facing_West,facing_North-West,extra_Garden/Park,extra_Pool,extra_Main Road
3,2200000.0,3018.0,729.0,2025.0,1,0.0,1.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,0,1
3,2650000.0,2944.0,900.0,2025.0,1,0.0,2.0,1272,202,1,1.0,7.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4950000.0,3548.0,1395.0,2025.0,1,0.0,2.0,713,137,1,1.0,5.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,1700000.0,2361.0,504.0,2025.0,1,0.0,1.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4100000.0,6925.0,55.0,2025.0,1,0.0,2.0,372,121,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4500000.0,3947.0,1140.0,2025.0,1,0.0,2.0,607,166,1,4.0,16.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4700000.0,4000.0,705.0,2025.0,1,0.0,2.0,1114,142,1,3.0,13.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4750000.0,4222.0,612.0,2024.0,0,-1.0,2.0,1276,66,1,8.0,13.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3700000.0,3091.0,1197.0,2025.0,1,0.0,2.0,1340,208,1,2.0,5.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4900000.0,3755.0,718.0,2025.0,0,0.0,2.0,89,79,1,2.0,13.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,2500000.0,2924.0,598.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4850000.0,4217.0,1150.0,2025.0,1,0.0,2.0,1205,34,1,2.0,4.0,1,30,90.0,0,0,1,0,0,0,0,0,0,0,0
3,2700000.0,6750.0,400.0,2025.0,1,0.0,1.0,372,121,1,3.0,8.0,1,30,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4500000.0,3759.0,1197.0,2025.0,1,0.0,2.0,1055,66,1,4.0,5.0,1,30,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,3800000.0,2912.0,914.0,2025.0,1,0.0,2.0,499,208,1,3.0,5.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4710000.0,3333.0,1413.0,2026.0,0,1.0,2.0,1324,216,1,12.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3200000.0,4211.0,418.0,2025.0,1,0.0,1.0,371,34,1,3.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4600000.0,4182.0,700.0,2025.0,1,0.0,2.0,340,66,1,5.0,12.0,1,84,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5000000.0,4444.0,900.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,0,0,1
1,4550000.0,3610.0,660.0,2026.0,0,1.0,2.0,516,180,1,5.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3500000.0,3314.0,607.0,2025.0,1,0.0,2.0,896,102,1,5.0,14.0,1,84,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4540000.0,3700.0,675.0,2025.0,1,0.0,2.0,1152,180,1,13.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4670000.0,3800.0,647.0,2026.0,0,1.0,2.0,796,34,1,11.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,3600000.0,2963.0,1215.0,2025.0,1,0.0,2.0,598,137,1,5.0,5.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4300000.0,4300.0,1000.0,2025.0,1,0.0,4.0,1272,202,1,1.0,2.0,1,84,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4700000.0,4123.0,640.0,2025.0,1,0.0,2.0,342,79,1,10.0,23.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,5000000.0,3912.0,1278.0,2025.0,1,0.0,2.0,692,67,1,3.0,10.0,1,30,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4800000.0,4444.0,1080.0,2025.0,1,0.0,2.0,928,217,1,1.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4200000.0,3320.0,760.0,2025.0,0,0.0,2.0,801,180,1,7.0,14.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,1
3,4840000.0,3444.0,1404.0,2026.0,0,1.0,2.0,1272,202,1,8.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,2900000.0,4085.0,460.0,2025.0,0,0.0,1.0,633,179,1,4.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4600000.0,3746.0,1228.0,2025.0,1,0.0,2.0,1152,180,1,7.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4179999.9999999995,3860.0,1084.0,2025.0,0,0.0,2.0,1155,180,1,11.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3550000.0,4034.0,880.0,2025.0,0,0.0,1.0,27,66,1,5.0,10.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,4129999.9999999995,3200.0,1290.0,2027.0,0,2.0,2.0,1133,34,1,7.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5000000.0,4000.0,600.0,2025.0,0,0.0,2.0,466,180,1,1.0,14.0,1,122,-1.0,0,0,0,0,0,0,0,0,1,1,1
3,4800000.0,4364.0,1100.0,2025.0,1,0.0,2.0,279,66,1,4.0,12.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4500000.0,5357.0,530.0,2025.0,1,0.0,2.0,794,41,1,10.0,10.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,5000000.0,4340.0,864.0,2025.0,1,0.0,2.0,655,151,1,1.0,3.0,1,30,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4300000.0,4228.0,700.0,2025.0,1,0.0,2.0,1272,202,1,6.0,7.0,1,84,270.0,0,0,0,0,0,0,1,0,0,0,0
3,5000000.0,4115.0,1215.0,2025.0,1,0.0,2.0,1272,202,1,4.0,6.0,1,122,0.0,1,0,0,0,0,0,0,0,0,0,0
3,4800000.0,3810.0,1260.0,2025.0,1,0.0,2.0,1067,66,1,3.0,5.0,1,30,90.0,0,0,1,0,0,0,0,0,0,0,0
1,2200000.0,4314.0,510.0,2025.0,1,0.0,1.0,778,214,1,3.0,7.0,1,84,90.0,0,0,1,0,0,0,0,0,0,0,0
1,3150000.0,4234.0,744.0,2025.0,1,0.0,1.0,1107,39,1,2.0,5.0,1,122,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,2800000.0,4575.0,428.0,2025.0,1,0.0,1.0,1272,202,1,5.0,12.0,2,33,-1.0,0,0,0,0,0,0,0,0,0,0,0
3,4930000.0,3895.0,1265.0,2025.0,0,0.0,2.0,792,34,1,8.0,13.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
3,5000000.0,4464.0,1120.0,2025.0,1,0.0,2.0,16,34,1,4.0,14.0,1,122,90.0,0,0,1,0,0,0,0,0,0,0,0
1,4800000.0,4537.0,600.0,2025.0,1,0.0,2.0,958,85,1,1.0,7.0,1,30,270.0,0,0,0,0,0,0,1,0,0,0,0
3,4500000.0,4505.0,999.0,2025.0,1,0.0,2.0,655,191,1,2.0,4.0,1,84,-1.0,0,0,0,0,0,0,0,0,0,0,0
1,4000000.0,3292.0,850.0,2025.0,1,0.0,2.0,1272,202,1,5.0,12.0,2,25,-1.0,0,0,0,0,0,0,0,0,1,1,1
